,date,street,level,median_length,median_delay,median_speed_kmh,median_record,id,y5,y3,y4,city
1938,2022-07-13,Jalan Jawa,2,425.0,84.0,12.74,6.0,2022-07-13_Jalan Jawa,1,1,3,KOTA BANDUNG
1939,2022-07-13,Jalan Jurang,2,627.0,87.0,10.82,4.0,2022-07-13_Jalan Jurang,1,1,3,KOTA BANDUNG
1940,2022-07-13,Jalan Kebonjati,3,729.0,91.5,13.545,11.5,2022-07-13_Jalan Kebonjati,1,0,3,KOTA BANDUNG
1941,2022-07-13,Jalan Lombok,3,554.0,103.0,11.3275,11.0,2022-07-13_Jalan Lombok,1,1,3,KOTA BANDUNG
1942,2022-07-13,Jalan Malabar,2,239.0,87.5,6.225,9.0,2022-07-13_Jalan Malabar,4,1,0,KOTA BANDUNG
1943,2022-07-13,Jalan Natuna,3,215.0,159.0,5.74,2.0,2022-07-13_Jalan Natuna,4,1,0,KOTA BANDUNG
1944,2022-07-13,Jalan Purwakarta,2,646.0,78.75,15.12,9.5,2022-07-13_Jalan Purwakarta,1,0,3,KOTA BANDUNG
1945,2022-07-13,Jalan Raya Dayeuhkolot,2,521.0,89.0,12.83,10.0,2022-07-13_Jalan Raya Dayeuhkolot,1,0,3,KOTA BANDUNG
1946,2022-07-13,Jalan Raya Lembang,3,733.0,163.25,7.7625,15.0,2022-07-13_Jalan Raya Lembang,1,1,0,KOTA BANDUNG
1947,2022-07-13,Jalan Raya Sapan,4,179.0,163.0,4.67,9.0,2022-07-13_Jalan Raya Sapan,4,1,0,KOTA BANDUNG
1948,2022-07-13,Jalan Rumah Sakit,2,1179.0,98.0,19.54,9.0,2022-07-13_Jalan Rumah Sakit,0,0,2,KOTA BANDUNG
1949,2022-07-13,Jalan Seram,2,391.0,89.25,8.7399995,4.5,2022-07-13_Jalan Seram,4,1,0,KOTA BANDUNG
1950,2022-07-13,Jalan Sumatra,2,362.0,92.5,10.07,5.0,2022-07-13_Jalan Sumatra,4,1,0,KOTA BANDUNG
1951,2022-07-13,Jalan Sumbawa,1,755.0,65.5,16.63,2.0,2022-07-13_Jalan Sumbawa,0,0,3,KOTA BANDUNG
1952,2022-07-13,Jalan Sunda,3,568.0,112.0,9.5,7.0,2022-07-13_Jalan Sunda,1,1,3,KOTA BANDUNG
1953,2022-07-13,Jamika,2,717.0,84.75,14.265,9.0,2022-07-13_Jamika,1,0,3,KOTA BANDUNG
1954,2022-07-13,Jatihandap,2,660.0,104.75,9.315,5.5,2022-07-13_Jatihandap,1,1,3,KOTA BANDUNG
1955,2022-07-13,Jenderal AH Nasution,2,1535.0,116.5,21.8,28.0,2022-07-13_Jenderal AH Nasution,0,0,2,KOTA BANDUNG
1956,2022-07-13,Jenderal Ahmad Yani,2,808.5,98.75,13.4575,30.0,2022-07-13_Jenderal Ahmad Yani,1,0,3,KOTA BANDUNG
1957,2022-07-13,Jenderal Haji Amir Machmud,3,457.0,113.0,9.73,8.0,2022-07-13_Jenderal Haji Amir Machmud,4,1,0,KOTA BANDUNG
1958,2022-07-13,Jenderal Ibrahim Adjie,3,1207.0,112.0,13.4150005,24.5,2022-07-13_Jenderal Ibrahim Adjie,0,0,3,KOTA BANDUNG
1959,2022-07-13,Jenderal Sudirman,3,762.0,115.0,12.299999,27.0,2022-07-13_Jenderal Sudirman,1,0,3,KOTA BANDUNG
1960,2022-07-13,KH Ahmad Dahlan,2,722.0,104.5,13.4274995,9.5,2022-07-13_KH Ahmad Dahlan,1,0,3,KOTA BANDUNG
1961,2022-07-13,KH Wahid Hasyim,3,696.0,71.5,12.865,41.5,2022-07-13_KH Wahid Hasyim,1,0,3,KOTA BANDUNG
1962,2022-07-13,Kalipah Apo,3,410.0,99.5,8.620000000000001,11.5,2022-07-13_Kalipah Apo,4,1,0,KOTA BANDUNG
1963,2022-07-13,Kamuning,3,237.0,99.0,6.37,7.0,2022-07-13_Kamuning,4,1,0,KOTA BANDUNG
1964,2022-07-13,Kapten Tata Natanegara,3,183.0,79.0,3.87,9.0,2022-07-13_Kapten Tata Natanegara,4,1,0,KOTA BANDUNG
1965,2022-07-13,Karapitan,2,874.0,104.0,13.965,15.0,2022-07-13_Karapitan,1,0,3,KOTA BANDUNG
1966,2022-07-13,Karawitan,2,647.0,110.25,12.8,8.5,2022-07-13_Karawitan,1,0,3,KOTA BANDUNG
1967,2022-07-13,Kebon Bibit,3,184.0,100.0,4.82,7.0,2022-07-13_Kebon Bibit,4,1,0,KOTA BANDUNG
1968,2022-07-13,Kebon Kawung,3,662.0,97.0,12.93,15.0,2022-07-13_Kebon Kawung,1,0,3,KOTA BANDUNG
1969,2022-07-13,Kebon Kopi,2,687.0,64.0,14.07,3.0,2022-07-13_Kebon Kopi,1,0,3,KOTA BANDUNG
1970,2022-07-13,Kepatihan,3,255.0,117.0,6.65,3.0,2022-07-13_Kepatihan,4,1,0,KOTA BANDUNG
1971,2022-07-13,Kesatriaan,4,186.0,121.0,4.63,1.0,2022-07-13_Kesatriaan,4,1,0,KOTA BANDUNG
1972,2022-07-13,Kliningan,3,368.0,71.0,10.77,5.0,2022-07-13_Kliningan,1,1,0,KOTA BANDUNG
1973,2022-07-13,Komodor Udara Supadio,2,875.5,76.75,14.86,5.0,2022-07-13_Komodor Udara Supadio,1,0,3,KOTA BANDUNG
1974,2022-07-13,Kopo,3,611.0,114.0,11.555,14.0,2022-07-13_Kopo,1,0,3,KOTA BANDUNG
1975,2022-07-13,Kopo Permai,2,312.0,108.75,7.029999999999999,6.5,2022-07-13_Kopo Permai,4,1,0,KOTA BANDUNG
1976,2022-07-13,LLRE Martadinata,2,770.0,106.5,13.81,12.0,2022-07-13_LLRE Martadinata,1,0,3,KOTA BANDUNG
1977,2022-07-13,Lapang Supratman,3,346.0,121.0,7.32,18.0,2022-07-13_Lapang Supratman,4,1,0,KOTA BANDUNG
1978,2022-07-13,Laswi,3,467.0,97.0,10.3,7.0,2022-07-13_Laswi,1,1,3,KOTA BANDUNG
1979,2022-07-13,Lembong,3,478.0,87.5,11.32,7.5,2022-07-13_Lembong,1,1,3,KOTA BANDUNG
1980,2022-07-13,Lengkong Besar,2,983.0,71.0,18.64,9.0,2022-07-13_Lengkong Besar,0,0,2,KOTA BANDUNG
1981,2022-07-13,Lengkong Kecil,3,528.0,105.25,11.0174995,12.5,2022-07-13_Lengkong Kecil,1,1,3,KOTA BANDUNG
1982,2022-07-13,Leumah Neundeut,2,467.0,84.0,10.54,7.0,2022-07-13_Leumah Neundeut,1,1,3,KOTA BANDUNG
1983,2022-07-13,Leuwi Panjang,2,762.0,87.5,15.0,7.0,2022-07-13_Leuwi Panjang,1,0,3,KOTA BANDUNG
